Number of transmission lines	411	Number of fields	4
From Node	To Node	Resistance	Reactance		
3	1	0	0.052
1	5	0.001	0.006
7001	1	0	0.01953
3	2	0	0.052
2	6	0.001	0.009
2	8	0.006	0.027
7002	2	0.001	0.0146
3	4	0	0.005
3	7	0	0.003
3	19	0.008	0.069
3	150	0.001	0.007
7003	3	0	0.01054
4	16	0.002	0.019
7	5	0	0.039
5	9	0.006	0.029
7	6	0	0.039
7	12	0.001	0.009
7	131	0.001	0.007
8	11	0.013	0.0595
8	14	0.013	0.042
9	11	0.006	0.027
10	11	0	0.089
12	10	0	0.053
11	13	0.008	0.034
7011	11	0	0.01923
12	21	0.002	0.015
7012	12	0	0.0312
13	20	0.006	0.034
14	15	0.014	0.042
16	15	0.001	0.038
15	17	0.0194	0.0311
15	37	0.065	0.248
15	89	0.099	0.248
15	90	0.096	0.363
16	42	0.002	0.022
7017	17	0	0.01654
19	21	0.002	0.018
19	87	0.013	0.08
21	20	0	0.014
20	22	0.016	0.033
20	27	0.069	0.186
21	24	0.004	0.034
22	23	0.052	0.111
24	23	0	0.064
23	25	0.019	0.039
7023	23	0	0.023
24	319	0.007	0.068
7024	24	0	0.0289
25	26	0.036	0.071
26	27	0.045	0.12
26	320	0.043	0.13
33	34	0	0.063
33	38	0.0025	0.012
33	40	0.006	0.029
33	41	0.007	0.043
34	42	0.001	0.008
36	35	0	0.047
35	72	0.012	0.06
35	76	0.006	0.014
35	77	0.01	0.029
36	88	0.004	0.027
37	38	0.008	0.047
37	40	0.022	0.064
37	41	0.01	0.036
37	49	0.017	0.081
37	89	0.102	0.254
37	90	0.047	0.127
37	9001	0.00006	0.00046
38	41	0.008	0.037
38	43	0.032	0.087
39	42	0.0006	0.0064
7039	39	0	0.03159
40	48	0.026	0.154
41	42	0	0.029
41	49	0.065	0.191
41	51	0.031	0.089
42	46	0.002	0.014
43	44	0.026	0.072
43	48	0.095	0.262
43	53	0.013	0.039
45	44	0	0.02
44	47	0.027	0.084
44	54	0.028	0.084
7044	44	0	0.18181
45	46	0	0.021
45	60	0.007	0.041
45	74	0.009	0.054
46	81	0.005	0.042
47	73	0.052	0.145
47	113	0.043	0.118
48	107	0.025	0.062
49	51	0.031	0.094
7049	49	0	0.0124
51	52	0.037	0.109
52	55	0.027	0.08
53	54	0.025	0.073
54	55	0.035	0.103
55	57	0.065	0.169
7055	55	0	0.19607
57	58	0.046	0.08
57	63	0.159	0.537
7057	57	0	0.05347
58	59	0.009	0.026
59	61	0.002	0.013
60	62	0.009	0.065
62	61	0	0.059
7061	61	0	0.0238
62	64	0.016	0.105
62	144	0.001	0.007
7062	62	0	0.03214
63	64	0	0.038
63	526	0.0265	0.172
69	79	0.051	0.157
201	69	0	0.098
69	211	0.051	0.232
70	71	0.032	0.1
70	528	0.02	0.1234
71	72	0.036	0.131
71	73	0.034	0.099
7071	71	0	0.06896
72	77	0.018	0.087
72	531	0.0256	0.193
73	74	0	0.0244
73	76	0.021	0.057
73	79	0.018	0.052
74	88	0.004	0.027
74	562	0.0286	0.2013
76	77	0.016	0.043
77	78	0.001	0.006
77	80	0.014	0.07
77	552	0.0891	0.2676
77	609	0.0782	0.2127
78	79	0.006	0.022
78	84	0	0.036
79	211	0.099	0.375
80	211	0.022	0.107
81	88	0	0.02
81	194	0.0035	0.033
81	195	0.0035	0.033
85	86	0.008	0.064
85	99	0	0.048
86	87	0.012	0.093
86	102	0	0.048
86	323	0.006	0.048
87	94	0	0.046
89	91	0.047	0.119
90	92	0.032	0.174
91	94	0.1	0.253
91	97	0.022	0.077
92	103	0.019	0.144
92	105	0.017	0.092
94	97	0.278	0.427
97	100	0.022	0.053
97	102	0.038	0.092
97	103	0.048	0.122
98	100	0.024	0.064
98	102	0.034	0.121
99	107	0.053	0.135
99	108	0.002	0.004
99	109	0.045	0.354
99	110	0.05	0.174
100	102	0.016	0.038
102	104	0.043	0.064
103	105	0.019	0.062
104	108	0.076	0.13
104	322	0.044	0.124
105	107	0.012	0.088
105	110	0.157	0.4
108	324	0.074	0.208
109	110	0.07	0.184
109	113	0.1	0.274
109	114	0.109	0.393
110	112	0.142	0.404
112	114	0.017	0.042
114	207	0	0.149
121	115	0	0.028
115	122	0.0036	0.0199
116	120	0.002	0.1049
116	124	0.0052	0.0174
117	118	0.0001	0.0018
159	117	0	0.016
118	119	0	0.0271
118	121	0.0022	0.2915
118	1201	0	0.6163
119	120	0	0.0339
119	121	0	0.0582
119	1190	0.001	0.023
120	1200	0	0.023
1201	120	0	0.3697
122	123	0.0808	0.2344
122	125	0.0965	0.3669
122	157	0.0005	0.0195
123	124	0.036	0.1076
123	125	0.0476	0.1414
160	124	0.0012	0.0396
125	126	0.0006	0.0197
126	127	0.0059	0.0405
126	129	0.0115	0.1106
126	132	0.0198	0.1688
126	157	0.005	0.05
126	158	0.0077	0.0538
126	169	0.0165	0.1157
127	128	0.0059	0.0577
127	134	0.0049	0.0336
127	168	0.0059	0.0577
128	130	0.0078	0.0773
128	133	0.0026	0.0193
129	130	0.0076	0.0752
129	133	0.0021	0.0186
130	131	0	0.018
130	132	0.0016	0.0164
130	150	0	0.014
130	151	0.0017	0.0165
130	167	0.0079	0.0793
130	168	0.0078	0.0784
7130	130	0	0.0193
132	170	0.001	0.0402
133	137	0.0017	0.0117
133	168	0.0026	0.0193
133	169	0.0021	0.0186
133	171	0.0002	0.0101
134	135	0.0043	0.0293
134	184	0.0039	0.0381
135	136	0.0091	0.0623
136	137	0.0125	0.089
136	152	0.0056	0.039
137	140	0.0015	0.0114
163	137	0.0013	0.0384
137	181	0.0005	0.0034
137	186	0.0007	0.0151
137	188	0.0005	0.0034
181	138	0.0004	0.0202
188	138	0.0004	0.0202
139	172	0.0562	0.2248
182	139	0.0003	0.0131
7139	139	0	0.0167
140	141	0.012	0.0836
140	142	0.0152	0.1132
140	145	0.0468	0.3369
140	146	0.043	0.3031
140	147	0.0489	0.3492
140	182	0.0013	0.0089
141	146	0.0291	0.2267
141	174	0.0024	0.0603
142	143	0.006	0.057
142	175	0.0024	0.0498
143	144	0	0.0833
143	145	0.0075	0.0773
143	148	0.0013	0.0371
143	149	0.0127	0.0909
145	146	0.0085	0.0588
145	149	0.0218	0.1511
145	180	0.0005	0.0182
146	147	0.0073	0.0504
148	178	0.0523	0.1526
148	179	0.1371	0.3919
151	170	0.001	0.0392
152	153	0.0137	0.0957
153	161	0.0055	0.0288
153	183	0.0027	0.0639
154	156	0.1746	0.3161
154	183	0.0804	0.3054
155	156	0.0008	0.0256
155	161	0.011	0.0568
164	155	0.0009	0.0231
157	159	0.0008	0.0098
158	159	0.0029	0.0285
158	160	0.0066	0.0448
162	164	0.0024	0.0326
162	165	0.0018	0.0245
163	164	0.0044	0.0514
165	166	0.0002	0.0123
7166	166	0	0.0154
167	169	0.0018	0.0178
172	173	0.0669	0.4843
172	174	0.0558	0.221
173	174	0.0807	0.3331
173	175	0.0739	0.3071
173	176	0.1799	0.5017
175	176	0.0904	0.3626
175	179	0.077	0.3092
176	177	0.0251	0.0829
177	178	0.0222	0.0847
178	179	0.0498	0.1855
178	180	0.0061	0.029
181	187	0.0004	0.0083
184	185	0.0025	0.0245
186	188	0.0007	0.0086
187	188	0.0007	0.0086
189	208	0.033	0.095
189	209	0.046	0.069
189	210	0	0.252
229	190	0	0.0626
190	231	0.0004	0.0022
190	240	0	0.0275
191	192	0.003	0.048
225	191	0.001	0.061
192	225	0.002	0.009
193	196	0	0.237
193	205	0.045	0.063
193	208	0.048	0.127
194	219	0.0031	0.0286
194	664	0.0024	0.0355
195	212	0.0008	0.0366
195	219	0.0031	0.0286
196	197	0.014	0.04
196	210	0.03	0.081
196	2040	0.0001	0.02
197	198	0.01	0.06
197	211	0.015	0.04
198	202	0.332	0.688
198	203	0.009	0.046
209	198	0.026	0.211
198	210	0.02	0.073
198	211	0.034	0.109
199	200	0.076	0.135
199	210	0.04	0.102
200	210	0.081	0.128
200	248	0	0.22
201	204	0.124	0.183
202	211	0	0.128
203	211	0.01	0.059
204	205	0.046	0.068
204	2040	0.02	0.204
205	206	0.302	0.446
206	207	0.073	0.093
