Gen#	Conn.	MW
1	1	4.86004e-07
2	4	4.86004e-07
3	6	4.86004e-07
4	8	4.86004e-07
5	10	377.073
6	12	71.2249
7	15	4.86004e-07
8	18	4.86004e-07
9	19	4.86004e-07
10	24	4.86004e-07
11	25	184.347
12	26	263.113
13	27	4.86004e-07
14	31	5.86559
15	32	4.86004e-07
16	34	4.86004e-07
17	36	4.86004e-07
18	40	4.86004e-07
19	42	4.86004e-07
20	46	15.9209
21	49	170.94
22	54	40.2212
23	55	4.86004e-07
24	56	4.86004e-07
25	59	129.881
26	61	134.07
27	62	4.86004e-07
28	65	327.635
29	66	328.473
30	69	432.713
31	70	4.86004e-07
32	72	4.86004e-07
33	73	4.86004e-07
34	74	4.86004e-07
35	76	4.86004e-07
36	77	4.86004e-07
37	80	399.697
38	85	4.86004e-07
39	87	3.35176
40	89	508.629
41	90	4.86004e-07
42	91	4.86004e-07
43	92	4.86004e-07
44	99	4.86004e-07
45	100	211.161
46	103	33.5176
47	104	4.86004e-07
48	105	4.86004e-07
49	107	4.86004e-07
50	110	4.86004e-07
51	111	30.1658
52	112	4.86004e-07
53	113	4.86004e-07
54	116	4.86004e-07
T.line#	From	To	From MW	To MW
1	1	2	11.9299	-11.9299
2	1	3	39.0701	-39.0701
3	2	12	31.9299	-31.9299
4	3	5	68.682	-68.682
5	3	12	9.38811	-9.38811
6	4	5	94.0667	-94.0667
7	4	11	-64.0667	64.0667
8	5	6	-86.4997	86.4997
9	8	5	-324.885	324.885
10	5	11	-75.637	75.637
11	6	7	-34.4997	34.4997
12	7	12	-15.4997	15.4997
13	8	9	377.073	-377.073
14	8	30	-52.1881	52.1881
15	9	10	377.073	-377.073
16	11	12	-38.6287	38.6287
17	11	13	-31.075	31.075
18	12	14	-13.2841	13.2841
19	12	16	-3.75125	3.75125
20	12	117	-20	20
21	13	15	2.92502	-2.92502
22	14	15	0.715907	-0.715907
23	15	17	98.7102	-98.7102
24	15	19	-6.8167	6.8167
25	15	33	1.74747	-1.74747
26	16	17	21.2488	-21.2488
27	17	18	-75.5532	75.5532
28	30	17	-217.672	217.672
29	17	31	-14.5886	14.5886
30	17	113	3.42857	-3.42857
31	18	19	-15.5532	15.5532
32	19	20	10.4096	-10.4096
33	19	34	12.2205	-12.2205
34	20	21	28.4096	-28.4096
35	21	22	42.4096	-42.4096
36	22	23	52.4096	-52.4096
37	23	24	20.3231	-20.3231
38	23	25	131.848	-131.848
39	23	32	-92.7612	92.7612
40	24	70	10.1616	-10.1616
41	24	72	10.1616	-10.1616
42	26	25	-72.7138	72.7138
43	25	27	-125.213	125.213
44	26	30	-190.4	190.4
45	27	28	-32.2829	32.2829
46	27	32	-11.0387	11.0387
47	27	115	-19.8917	19.8917
48	28	29	-15.2829	15.2829
49	29	31	8.71715	-8.71715
50	30	38	-24.9156	24.9156
51	31	32	31.2629	-31.2629
52	32	113	-3.42857	3.42857
53	32	114	-10.1083	10.1083
54	33	37	24.7475	-24.7475
55	34	36	-29.0035	29.0035
56	34	37	104.396	-104.396
57	34	43	-4.17235	4.17235
58	35	36	-1.99647	1.99647
59	35	37	34.9965	-34.9965
60	38	37	-204.862	204.862
61	37	39	-25.3354	25.3354
62	37	40	-15.386	15.386
63	38	65	179.946	-179.946
64	39	40	1.66459	-1.66459
65	40	41	-10.4882	10.4882
66	40	42	16.7668	-16.7668
67	41	42	26.5118	-26.5118
68	42	49	40.1393	-40.1393
69	42	49	40.1393	-40.1393
70	43	44	13.8276	-13.8276
71	44	45	29.8276	-29.8276
72	45	46	34.168	-34.168
73	45	49	48.6597	-48.6597
74	46	47	32.0194	-32.0194
75	46	48	14.2277	-14.2277
76	47	49	5.61707	-5.61707
77	47	69	60.4023	-60.4023
78	48	49	34.2277	-34.2277
79	49	50	-54.2076	54.2076
80	49	51	-66.9985	66.9985
81	49	54	-39.2465	39.2465
82	49	54	-38.9767	38.9767
83	49	66	116.783	-116.783
84	49	66	116.783	-116.783
85	49	69	50.7059	-50.7059
86	50	57	-37.2076	37.2076
87	51	52	-29.3594	29.3594
88	51	58	-20.6392	20.6392
89	52	53	-11.3594	11.3594
90	53	54	11.6406	-11.6406
91	54	55	-6.98986	6.98986
92	54	56	-16.2364	16.2364
93	54	59	29.4225	-29.4225
94	55	56	22.457	-22.457
95	55	59	33.5531	-33.5531
96	56	57	25.2076	-25.2076
97	56	58	8.63917	-8.63917
98	56	59	27.4966	-27.4966
99	56	59	28.8772	-28.8772
100	59	60	45.6868	-45.6868
101	59	61	54.3821	-54.3821
102	63	59	-166.4	166.4
103	60	61	113.536	-113.536
104	60	62	10.1507	-10.1507
105	61	62	-25.6191	25.6191
106	64	61	-59.4668	59.4668
107	62	66	37.3119	-37.3119
108	62	67	24.2197	-24.2197
109	63	64	166.4	-166.4
110	64	65	225.867	-225.867
111	65	66	-33.6258	33.6258
112	65	68	111.803	-111.803
113	66	67	-52.2197	52.2197
114	68	69	71.9812	-71.9812
115	68	81	39.8221	-39.8221
116	68	116	3.25487e-07	-3.25487e-07
117	69	70	-99.3632	99.3632
118	69	75	-101.572	101.572
119	69	77	-48.6885	48.6885
120	70	71	-10.1616	10.1616
121	70	74	-14.6526	14.6526
122	70	75	1.61249	-1.61249
123	71	72	-10.1616	10.1616
124	71	73	3.57973e-07	-3.57973e-07
125	74	75	53.3474	-53.3474
126	75	77	37.3898	-37.3898
127	75	118	-37.0019	37.0019
128	76	77	63.9981	-63.9981
129	76	118	4.00187	-4.00187
130	77	78	-46.1226	46.1226
131	77	80	93.4446	-93.4446
132	77	80	43.1625	-43.1625
133	77	82	23.215	-23.215
134	78	79	24.8774	-24.8774
135	79	80	63.8774	-63.8774
136	81	80	39.8221	-39.8221
137	80	96	-8.47026	8.47026
138	80	97	-15.7729	15.7729
139	80	98	-13.1721	13.1721
140	80	99	8.02511	-8.02511
141	82	83	58.154	-58.154
142	82	96	19.061	-19.061
143	83	84	31.5655	-31.5655
144	83	85	46.5885	-46.5885
145	84	85	42.5655	-42.5655
146	85	86	-17.6482	17.6482
147	85	88	55.4916	-55.4916
148	85	89	75.3106	-75.3106
149	86	87	3.35176	-3.35176
150	88	89	103.492	-103.492
151	89	90	-32.0557	32.0557
152	89	90	-60.4461	60.4461
153	89	92	-179.871	179.871
154	89	92	-57.4539	57.4539
155	90	91	-14.5018	14.5018
156	91	92	-14.5018	14.5018
157	92	93	-61.8999	61.8999
158	92	94	-56.3404	56.3404
159	92	100	-27.506	27.506
160	92	102	-41.0802	41.0802
161	93	94	-49.8999	49.8999
162	94	95	-54.6085	54.6085
163	94	96	-35.2094	35.2094
164	94	100	13.5777	-13.5777
165	95	96	-12.6085	12.6085
166	96	97	0.77288	-0.77288
167	98	100	20.8279	-20.8279
168	99	100	8.02511	-8.02511
169	100	101	14.0802	-14.0802
170	100	103	-84.8115	84.8115
171	100	104	-42.7917	42.7917
172	100	106	-45.7134	45.7134
173	101	102	36.0802	-36.0802
174	103	104	-27.0007	27.0007
175	103	105	-33.7148	33.7148
176	103	110	-34.6136	34.6136
177	104	105	-31.7924	31.7924
178	105	106	-9.8191	9.8191
179	105	107	-15.4675	15.4675
180	105	108	-9.22063	9.22063
181	106	107	-12.5325	12.5325
182	108	109	-7.22063	7.22063
183	109	110	0.779372	-0.779372
184	110	111	30.1658	-30.1658
185	110	112	-25	25
186	114	115	-2.10831	2.10831
