Gen#	Conn.	MW
1	1	161.619
2	2	97.4704
T.line#	From	To	From MW	To MW
1	1	2	-100	100
2	1	5	-61.62	61.62
3	2	3	-71.7731	71.7731
4	2	4	-58.8273	58.8273
5	2	5	-45.1556	45.1556
6	3	4	22.4332	-22.4332
7	4	5	59.7181	-59.7181
8	4	7	-30.6922	30.6922
9	4	9	-17.6087	17.6087
10	5	6	-39.4492	39.4492
11	6	11	-8.63004	8.63004
12	6	12	-6.44235	6.44235
13	6	13	-13.1681	13.1681
14	7	8	-0.00184336	0.00184336
15	7	9	-30.6848	30.6848
16	9	10	-3.88074	3.88074
17	9	14	-14.9037	14.9037
18	10	11	5.12471	-5.12471
19	12	13	-0.337138	0.337138
