Gen#	Conn.	MW
1	7	11.2682
2	20	11.2687
3	25	11.2691
4	81	11.2681
5	52	11.2682
6	105	379.225
7	114	156.747
8	115	293.267
9	120	68.7662
10	121	118.318
11	139	1951.75
12	135	242.704
13	144	11.2682
14	173	11.2683
15	178	284.166
16	184	703.843
17	181	84.9463
18	182	219.445
19	187	104.161
20	167	376.192
21	191	218.434
22	195	11.2682
23	161	207.31
24	163	11.2682
25	203	230.569
26	204	84.9463
27	206	202.254
28	171	1213.52
29	205	1213.52
30	212	480.347
31	215	1995.21
32	226	428.778
33	235	275.065
34	241	101.127
35	243	455.063
36	246	252.818
37	249	306.41
38	252	348.883
39	254	303.377
40	256	606.751
41	244	252.814
42	258	556.191
43	257	581.916
44	237	171.916
45	262	84.9463
46	4	472.262
47	8	630.019
48	13	1223.63
49	22	236.637
50	24	376.192
51	32	333.719
52	39	187.085
53	41	414.621
54	59	505.634
55	68	37.417
56	75	11.2681
57	79	45.5071
58	82	166.859
59	86	404.507
60	89	404.507
61	98	117.307
62	160	1306.56
63	177	707.888
64	201	559.231
65	270	11.2681
66	288	11.2681
67	290	11.2681
68	291	50.5634
69	292	8.09014
T.line#	From	To	From MW	To MW
1	1	2	-19.3763	19.3763
2	2	3	-401.64	401.64
3	4	2	-472.263	472.263
4	1	5	35.9948	-35.9948
5	5	6	-148.331	148.331
6	5	7	-389.695	389.695
7	8	5	-630.019	630.019
8	1	9	-910.175	910.175
9	1	10	-182.296	182.296
10	1	11	-151.214	151.214
11	1	12	23.4312	-23.4312
12	13	1	-1223.63	1223.63
13	9	14	-910.176	910.176
14	10	3	-72.7931	72.7931
15	3	15	-121.435	121.435
16	10	6	28.3314	-28.3314
17	10	16	-175.514	175.514
18	10	17	37.6779	-37.6779
19	7	18	17.8323	-17.8323
20	7	19	-360.797	360.797
21	15	18	-25.4358	25.4358
22	20	18	13.1166	-13.1166
23	16	20	-123.613	123.613
24	18	21	-148.127	148.127
25	22	18	-236.638	236.638
26	16	23	-428.097	428.097
27	24	16	-376.193	376.193
28	21	25	-90.1289	90.1289
29	19	26	-200.797	200.797
30	14	26	-274.067	274.067
31	26	27	-227.28	227.28
32	26	28	-59.0095	59.0095
33	26	29	-31.5139	31.5139
34	26	30	-30.3616	30.3616
35	14	31	-636.109	636.109
36	32	27	-333.719	333.719
37	11	23	97.0279	-97.0279
38	11	33	-248.243	248.243
39	23	25	-497.193	497.193
40	25	34	18.7187	-18.7187
41	25	35	-22.3137	22.3137
42	23	36	243.12	-243.12
43	34	37	99.7166	-99.7166
44	36	37	-55.7057	55.7057
45	37	38	-122.078	122.078
46	39	37	-187.086	187.086
47	36	40	-115.799	115.799
48	41	36	-414.622	414.622
49	38	42	-77.0803	77.0803
50	42	35	-46.6842	46.6842
51	42	43	-2.39867	2.39867
52	44	45	160.436	-160.436
53	44	46	-104.93	104.93
54	44	47	-46.241	46.241
55	44	48	45.7341	-45.7341
56	45	31	160.436	-160.436
57	49	50	-109.883	109.883
58	50	51	-46.6044	46.6044
59	50	52	-100.826	100.826
60	50	53	37.5469	-37.5469
61	49	54	109.882	-109.882
62	28	46	-33.8697	33.8697
63	28	47	-26.1505	26.1505
64	28	48	45.3785	-45.3785
65	28	55	-38.781	38.781
66	28	29	26.8462	-26.8462
67	28	30	28.4462	-28.4462
68	28	56	24.1196	-24.1196
69	46	48	87.1707	-87.1707
70	46	57	-70.9711	70.9711
