Gen#	Conn.	MW
1	1	44.7299
2	2	58.2627
3	13	22.3136
4	22	32.3259
5	23	15.7839
6	27	15.7839
T.line#	From	To	From MW	To MW
1	1	2	-21.9456	21.9456
2	1	3	-22.7843	22.7843
3	2	4	-18.8524	18.8524
4	2	5	-15.4749	15.4749
5	2	6	-24.181	24.181
6	3	4	-20.3843	20.3843
7	4	6	-23.8752	23.8752
8	4	12	-7.76154	7.76154
9	5	7	-15.4749	15.4749
10	6	7	-7.3251	7.3251
11	6	8	-26.0487	26.0487
12	6	9	-6.11406	6.11406
13	6	10	-3.49689	3.49689
14	6	28	-5.07149	5.07149
15	8	28	3.95131	-3.95131
16	9	10	-6.11406	6.11406
17	9	11	0	0
18	10	17	-6.87423	6.87423
19	10	20	-8.06607	8.06607
20	10	21	5.0535	-5.0535
21	10	22	6.07585	-6.07585
22	12	13	22.3136	-22.3136
23	12	14	-5.06118	5.06118
24	12	15	-8.18815	8.18815
25	12	16	-5.62577	5.62577
26	14	15	1.13882	-1.13882
27	15	18	-6.83393	6.83393
28	15	23	7.98459	-7.98459
29	16	17	-2.12577	2.12577
30	18	19	-3.63393	3.63393
31	19	20	5.86607	-5.86607
32	21	22	22.5535	-22.5535
33	22	24	-3.69656	3.69656
34	23	24	-4.59933	4.59933
35	24	25	0.404101	-0.404101
36	25	26	-3.5	3.5
37	25	27	3.9041	-3.9041
38	28	27	-1.12017	1.12017
39	27	29	-6.06472	6.06472
40	27	30	-6.93528	6.93528
41	29	30	-3.66472	3.66472
