Gen#	Conn.	MW
1	1	18972.5
2	2	18972.5
3	7	19059.5
4	13	19303.1
5	15	18997
6	16	18951.2
7	18	19137.3
8	21	19137.3
9	22	19055
10	23	19364.7
11	25	18972.5
12	26	18972.5
13	31	19059.5
14	37	19303.1
15	39	18997
16	40	18951.2
17	42	19137.3
18	45	19137.3
19	46	19055
20	47	19364.7
T.line#	From	To	From MW	To MW
1	1	2	-88.7303	88.7303
2	1	3	-3131.61	3131.61
3	1	5	-8496.06	8496.06
4	2	4	-6214.83	6214.83
5	2	6	-6354.1	6354.1
6	3	9	-2182.94	2182.94
7	3	24	11081.2	-11081.2
8	4	9	-1250.13	1250.13
9	5	10	-3722.31	3722.31
10	6	10	2811.5	-2811.5
11	7	8	-7873.48	7873.48
12	8	9	2183.24	-2183.24
13	8	10	1400.28	-1400.28
14	9	11	4768.8	-4768.8
15	9	12	5629.32	-5629.32
16	10	11	6306.77	-6306.77
17	10	12	7167.29	-7167.29
18	11	13	6258.27	-6258.27
19	11	14	4817.3	-4817.3
20	12	13	4752.37	-4752.37
21	12	23	8044.23	-8044.23
22	13	23	6346.87	-6346.87
23	14	16	17801.9	-17801.9
24	15	16	-6692.05	6692.05
25	15	21	19971.7	-19971.7
26	15	24	-11081.2	11081.2
27	16	17	15016.7	-15016.7
28	16	19	-16174.8	16174.8
29	17	18	6300.53	-6300.53
30	17	22	8716.19	-8716.19
31	18	21	9504.42	-9504.42
32	19	20	-3954.02	3954.02
33	20	23	4638.73	-4638.73
34	21	22	10338.8	-10338.8
35	25	26	-241.117	241.117
36	25	27	-2814.67	2814.67
37	25	29	-8660.61	8660.61
38	26	28	-6263.13	6263.13
39	26	30	-6458.19	6458.19
40	27	33	-2856.59	2856.59
41	27	48	9287.58	-9287.58
42	28	33	-1298.43	1298.43
43	29	34	-3886.86	3886.86
44	30	34	2707.41	-2707.41
45	31	32	-10657.7	10657.7
46	32	33	837.134	-837.134
47	32	34	-37.8098	37.8098
48	33	35	3712.47	-3712.47
49	33	36	4617.59	-4617.59
50	34	35	5431.11	-5431.11
51	34	36	6336.23	-6336.23
52	35	37	4904.05	-4904.05
53	35	38	4239.52	-4239.52
54	36	37	3320.09	-3320.09
55	36	47	7633.73	-7633.73
56	37	47	6679.4	-6679.4
57	38	40	17224.1	-17224.1
58	39	40	-5706.45	5706.45
59	39	45	20311.5	-20311.5
60	39	48	-9287.58	9287.58
61	40	41	15011.7	-15011.7
62	40	43	-15762	15762
63	41	42	6007.42	-6007.42
64	41	46	8669.46	-8669.46
65	42	45	9211.3	-9211.3
66	43	44	-3541.2	3541.2
67	44	47	5051.55	-5051.55
68	45	46	10385.6	-10385.6
69	7	27	-2784.2	2784.2
70	13	39	3119.04	-3119.04
71	23	41	-334.854	334.854
