Gen#	Conn.	MW
1	1	193.877
2	2	100
3	3	56.2618
4	6	54.7895
5	8	335.852
6	9	100
7	12	410
T.line#	From	To	From MW	To MW
1	1	2	30.7919	-30.7919
2	1	15	-77.7327	77.7327
3	1	16	-38.9408	38.9408
4	1	17	-52.9956	52.9956
5	2	3	-66.2085	66.2085
6	3	4	-37.9162	37.9162
7	3	15	-43.5546	43.5546
8	4	5	-5.10474	5.10474
9	4	6	-1.13582	1.13582
10	4	18	-13.8281	13.8281
11	4	18	-17.8479	17.8479
12	5	6	7.89517	-7.89517
13	6	7	1.36984	-1.36984
14	6	8	25.5999	-25.5999
15	7	8	60.2516	-60.2516
16	7	29	-58.8817	58.8817
17	8	9	-100	100
18	9	10	-18.9539	18.9539
19	9	11	-24.8315	24.8315
20	9	12	-2.5209	2.5209
21	9	13	-13.1976	13.1976
22	9	55	-19.4974	19.4974
23	10	12	19.3258	-19.3258
24	10	51	-33.2803	33.2803
25	11	13	0.286287	-0.286287
26	11	41	-10.1736	10.1736
27	11	43	-14.9448	14.9448
28	12	13	-23.1331	23.1331
29	12	16	-4.05887	4.05887
30	12	17	10.996	-10.996
31	13	14	-8.68337	8.68337
32	13	15	22.5566	-22.5566
33	13	49	-31.9186	31.9186
34	14	15	42.7311	-42.7311
35	14	46	-40.915	40.915
36	15	45	-34.0003	34.0003
37	18	19	-4.47623	4.47623
38	19	20	-1.17647	1.17647
39	21	20	-1.12326	1.12326
40	21	22	1.12305	-1.12305
41	22	23	-8.22484	8.22484
42	22	38	9.34757	-9.34757
43	23	24	-1.92515	1.92515
44	24	25	-6.93837	6.93837
45	24	25	-6.6676	6.6676
46	24	26	11.6805	-11.6805
47	25	30	-7.30628	7.30628
48	26	27	11.6804	-11.6804
49	27	28	20.9803	-20.9803
50	28	29	25.5803	-25.5803
51	29	52	-16.3015	16.3015
52	30	31	-3.70653	3.70653
53	31	32	2.09321	-2.09321
54	32	33	-3.7998	3.7998
55	34	32	-7.49262	7.49262
56	34	35	7.4924	-7.4924
57	35	36	13.4921	-13.4921
58	36	37	15.311	-15.311
59	36	40	-1.81928	1.81928
60	37	38	18.0701	-18.0701
61	37	39	-2.7594	2.7594
62	38	44	22.0008	-22.0008
63	38	48	13.7871	-13.7871
64	38	49	5.62911	-5.62911
65	39	57	-2.75962	2.75962
66	40	56	-1.8195	1.8195
67	41	42	-9.36026	9.36026
68	41	43	12.9452	-12.9452
69	56	41	7.45919	-7.45919
70	56	42	2.26066	-2.26066
71	44	45	34.0005	-34.0005
72	46	47	-40.9152	40.9152
73	47	48	-11.2156	11.2156
74	48	49	2.57114	-2.57114
75	49	50	-5.71893	5.71893
76	50	51	15.2807	-15.2807
77	52	53	-11.4016	11.4016
78	53	54	8.59819	-8.59819
79	54	55	12.6979	-12.6979
80	57	56	3.94	-3.94
