Gen#	Conn.	MW
1	1	199.405
2	2	59.5955
T.line#	From	To	From MW	To MW
1	1	2	-129.947	129.947
2	1	5	-69.4571	69.4571
3	2	3	-72.0831	72.0831
4	2	4	-54.7955	54.7955
5	2	5	-40.9643	40.9643
6	3	4	22.1169	-22.1169
7	4	5	60.9379	-60.9379
8	4	7	-29.1122	29.1122
9	4	9	-16.7043	16.7043
10	5	6	-41.8835	41.8835
11	6	11	-6.26921	6.26921
12	6	12	-7.27071	7.27071
13	6	13	-17.1436	17.1436
14	7	8	6.30271e-14	-6.30271e-14
15	7	9	-29.1122	29.1122
16	9	10	-6.23079	6.23079
17	9	14	-10.0857	10.0857
18	10	11	2.76921	-2.76921
19	12	13	-1.17071	1.17071
20	13	14	-4.81427	4.81427
