Gen#	Conn.	MW
1	1	0.396915
2	2	75.1513
3	13	17.0378
4	22	49.6886
5	23	24.0607
6	27	22.8647
T.line#	From	To	From MW	To MW
1	1	2	9.58272	-9.58272
2	1	3	-9.97964	9.97964
3	2	4	-14.3173	14.3173
4	2	5	-12.3638	12.3638
5	2	6	-17.1875	17.1875
6	3	4	-7.57964	7.57964
7	4	6	-13.122	13.122
8	4	12	-1.17489	1.17489
9	5	7	-12.3638	12.3638
10	6	7	-10.4362	10.4362
11	6	8	-24.5393	24.5393
12	6	9	2.31511	-2.31511
13	6	10	1.32411	-1.32411
14	6	28	1.02672	-1.02672
15	8	28	5.46075	-5.46075
16	9	10	2.31511	-2.31511
17	9	11	0	0
18	10	17	-9.90152	9.90152
19	10	20	-8.93649	8.93649
20	10	21	15.4016	-15.4016
21	10	22	12.8756	-12.8756
22	12	13	17.0378	-17.0378
23	12	14	-3.09515	3.09515
24	12	15	-1.31911	1.31911
25	12	16	-2.59848	2.59848
26	14	15	3.10485	-3.10485
27	15	18	-5.96351	5.96351
28	15	23	15.9492	-15.9492
29	16	17	0.901523	-0.901523
30	18	19	-2.76351	2.76351
31	19	20	6.73649	-6.73649
32	21	22	32.9016	-32.9016
33	22	24	-3.91135	3.91135
34	23	24	-4.91143	4.91143
35	24	25	-0.122776	0.122776
36	25	26	-3.5	3.5
37	25	27	3.37722	-3.37722
38	28	27	6.48747	-6.48747
39	27	29	-6.06472	6.06472
40	27	30	-6.93528	6.93528
41	29	30	-3.66472	3.66472
