Gen#	Conn.	MW
1	1	93.4746
2	2	100
3	3	101.813
4	6	100
5	8	328.066
6	9	100
7	12	410
T.line#	From	To	From MW	To MW
1	1	2	66.9153	-66.9153
2	1	15	-41.1771	41.1771
3	1	16	-25.0703	25.0703
4	1	17	-39.1072	39.1072
5	2	3	-30.0955	30.0955
6	3	4	-6.47192	6.47192
7	3	15	-84.5801	84.5801
8	4	5	8.54154	-8.54154
9	4	6	16.5058	-16.5058
10	4	18	-13.8091	13.8091
11	4	18	-17.8397	17.8397
12	5	6	21.4819	-21.4819
13	6	7	-6.13632	6.13632
14	6	8	19.0223	-19.0223
15	7	8	59.0405	-59.0405
16	7	29	-65.2263	65.2263
17	8	9	-100	100
18	9	10	-20.6327	20.6327
19	9	11	-23.0581	23.0581
20	9	12	-4.94876	4.94876
21	9	13	-16.212	16.212
22	9	55	-15.4797	15.4797
23	10	12	15.797	-15.797
24	10	51	-32.0542	32.0542
25	11	13	-0.275766	0.275766
26	11	41	-9.57572	9.57572
27	11	43	-13.7666	13.7666
28	12	13	-2.99024	2.99024
29	12	16	-17.5838	17.5838
30	12	17	-2.71963	2.71963
31	13	14	4.79108	-4.79108
32	13	15	22.683	-22.683
33	13	49	-29.7901	29.7901
34	14	15	51.0403	-51.0403
35	14	46	-36.1261	36.1261
36	15	45	-30.4041	30.4041
37	18	19	-4.57924	4.57924
38	19	20	-1.43377	1.43377
39	21	20	-0.67576	0.67576
40	21	22	0.505894	-0.505894
41	22	23	-3.1568	3.1568
42	22	38	3.39821	-3.39821
43	23	24	2.88201	-2.88201
44	24	25	-6.6748	6.6748
45	24	25	-6.41406	6.41406
46	24	26	15.6968	-15.6968
47	25	30	-7.08263	7.08263
48	26	27	15.5674	-15.5674
49	27	28	24.7346	-24.7346
50	28	29	29.225	-29.225
51	29	52	-19.1286	19.1286
52	30	31	-3.7079	3.7079
53	31	32	1.85465	-1.85465
54	32	33	-3.62937	3.62937
55	34	32	-6.74277	6.74277
56	34	35	6.55659	-6.55659
57	35	36	12.2754	-12.2754
58	36	37	13.3493	-13.3493
59	36	40	-1.35643	1.35643
60	37	38	15.3288	-15.3288
61	37	39	-2.26075	2.26075
62	38	44	18.8043	-18.8043
63	38	48	8.80785	-8.80785
64	38	49	4.5682	-4.5682
65	39	57	-2.44939	2.44939
66	40	56	-1.54658	1.54658
67	41	42	-8.92305	8.92305
68	41	43	12.1776	-12.1776
69	56	41	7.17494	-7.17494
70	56	42	2.19401	-2.19401
71	44	45	30.5489	-30.5489
72	46	47	-36.3154	36.3154
73	47	48	-6.90072	6.90072
74	48	49	1.62137	-1.62137
75	49	50	-6.13617	6.13617
76	50	51	14.4976	-14.4976
77	52	53	-14.4114	14.4114
78	53	54	5.3598	-5.3598
79	54	55	9.12266	-9.12266
80	57	56	3.90721	-3.90721
