Gen#	Conn.	MW
1	1	115.053
2	2	140
T.line#	From	To	From MW	To MW
1	1	2	-64.1442	64.1442
2	1	5	-50.909	50.909
3	2	3	-72.6086	72.6086
4	2	4	-60.7866	60.7866
5	2	5	-49.6635	49.6635
6	3	4	21.3177	-21.3177
7	4	5	55.3758	-55.3758
8	4	7	-30.1475	30.1475
9	4	9	-17.3867	17.3867
10	5	6	-37.9696	37.9696
11	6	11	-8.0108	8.0108
12	6	12	-6.25798	6.25798
13	6	13	-12.8832	12.8832
14	7	8	0.0805927	-0.0805927
15	7	9	-30.4699	30.4699
16	9	10	-4.01699	4.01699
17	9	14	-14.7399	14.7399
18	10	11	4.74473	-4.74473
19	12	13	-0.387409	0.387409
