
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	2.81967
2	2.83159
3	2.83624
4	2.90291
5	2.91042
6	2.86371
7	2.85653
8	2.99716
9	3.11217
10	3.23358
11	2.85883
12	2.85126
13	2.83611
14	2.84187
15	2.84326
16	2.84813
17	2.8864
18	2.84825
19	2.84058
20	2.85276
21	2.87688
22	2.91801
23	3.00135
24	3.01134
25	3.10682
26	3.1346
27	2.90273
28	2.87512
29	2.86071
30	2.97086
31	2.8636
32	2.89439
33	2.84544
34	2.87076
35	2.86319
36	2.86299
37	2.88058
38	2.9574
39	2.85372
40	2.85473
41	2.84962
42	2.88541
43	2.86375
44	2.89768
45	2.92456
46	2.97089
47	3.01155
48	2.99778
49	3.01506
50	2.9743
51	2.92328
52	2.90601
53	2.88744
54	2.90164
55	2.8967
56	2.90009
57	2.92444
58	2.90844
59	2.96911
60	3.03535
61	3.05068
62	3.04105
63	3.03334
64	3.06662
65	3.13483
66	3.12239
67	3.06938
68	3.15272
69	3.17935
70	3.05316
71	3.04955
72	3.03126
73	3.04955
74	3.03377
75	3.05543
76	3.03546
77	3.13018
78	3.12446
79	3.13053
80	3.1755
81	3.16076
82	3.14998
83	3.17129
84	3.21296
85	3.24024
86	3.21853
87	3.22549
88	3.29684
89	3.37053
90	3.31026
91	3.29814
92	3.27969
93	3.2272
94	3.19068
95	3.16698
96	3.16008
97	3.16076
98	3.16127
99	3.19203
100	3.19855
101	3.21632
102	3.25673
103	3.15403
104	3.11126
105	3.09924
106	3.09387
107	3.07093
108	3.09276
109	3.09068
110	3.09127
111	3.11405
112	3.07527
113	2.88743
114	2.88821
115	2.88799
116	3.15272
117	2.82326
118	3.03764
Finished writing Internal Node Voltage Phase Angles
