
The Optimal Objective value (Generation Dispatch cost) is: 104096

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	7.26752e-11 MW
2	7.2675e-11 MW
3	7.26752e-11 MW
4	7.26742e-11 MW
5	377.073 MW
6	71.2249 MW
7	7.2675e-11 MW
8	7.26742e-11 MW
9	7.26747e-11 MW
10	7.26675e-11 MW
11	184.347 MW
12	263.113 MW
13	7.26693e-11 MW
14	5.86559 MW
15	7.26698e-11 MW
16	7.26801e-11 MW
17	7.26812e-11 MW
18	7.26782e-11 MW
19	7.26768e-11 MW
20	15.9209 MW
21	170.94 MW
22	40.2212 MW
23	7.26794e-11 MW
24	7.26794e-11 MW
25	129.881 MW
26	134.07 MW
27	7.26734e-11 MW
28	327.635 MW
29	328.473 MW
30	432.713 MW
31	7.26661e-11 MW
32	7.26667e-11 MW
33	7.2666e-11 MW
34	7.26654e-11 MW
35	7.2664e-11 MW
36	7.26623e-11 MW
37	399.697 MW
38	7.26571e-11 MW
39	3.35176 MW
40	508.629 MW
41	7.26563e-11 MW
42	7.26563e-11 MW
43	7.26561e-11 MW
44	7.26574e-11 MW
45	211.161 MW
46	33.5176 MW
47	7.26532e-11 MW
48	7.26529e-11 MW
49	7.2653e-11 MW
50	7.26516e-11 MW
51	30.1658 MW
52	7.26515e-11 MW
53	7.26732e-11 MW
54	7.26685e-11 MW
Finished writing Power Generation
