
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-11.9299 MW
2	-39.0701 MW
3	-31.9299 MW
4	-68.682 MW
5	-9.38811 MW
6	-94.0667 MW
7	64.0667 MW
8	86.4996 MW
9	324.885 MW
10	75.6369 MW
11	34.4996 MW
12	15.4996 MW
13	-377.073 MW
14	52.1881 MW
15	-377.073 MW
16	38.6287 MW
17	31.075 MW
18	13.2841 MW
19	3.75123 MW
20	20 MW
21	-2.92505 MW
22	-0.715938 MW
23	-98.71 MW
24	6.81632 MW
25	-1.74733 MW
26	-21.2488 MW
27	75.553 MW
28	217.672 MW
29	14.5886 MW
30	-3.42856 MW
31	15.553 MW
32	-10.4096 MW
33	-12.2211 MW
34	-28.4096 MW
35	-42.4096 MW
36	-52.4096 MW
37	-20.3231 MW
38	-131.848 MW
39	92.7612 MW
40	-10.1616 MW
41	-10.1616 MW
42	72.7138 MW
43	125.213 MW
44	190.4 MW
45	32.2829 MW
46	11.0387 MW
47	19.8917 MW
48	15.2829 MW
49	-8.71715 MW
50	24.916 MW
51	-31.2629 MW
52	3.42856 MW
53	10.1083 MW
54	-24.7473 MW
55	29.0146 MW
56	-104.408 MW
57	4.17262 MW
58	1.98544 MW
59	-34.9854 MW
60	204.862 MW
61	25.3354 MW
62	15.3859 MW
63	-179.946 MW
64	-1.66464 MW
65	10.4881 MW
66	-16.7668 MW
67	-26.5119 MW
68	-40.1394 MW
69	-40.1394 MW
70	-13.8274 MW
71	-29.8274 MW
72	-34.1678 MW
73	-48.6595 MW
74	-32.0193 MW
75	-14.2276 MW
76	-5.61702 MW
77	-60.4023 MW
78	-34.2276 MW
79	54.2076 MW
80	66.9985 MW
81	39.2465 MW
82	38.9768 MW
83	-116.783 MW
84	-116.783 MW
85	-50.7059 MW
86	37.2076 MW
87	29.3594 MW
88	20.6392 MW
89	11.3594 MW
90	-11.6406 MW
91	6.98962 MW
92	16.2367 MW
93	-29.4225 MW
94	-22.4573 MW
95	-33.5531 MW
96	-25.2076 MW
97	-8.63916 MW
98	-27.4966 MW
99	-28.8772 MW
100	-45.6868 MW
101	-54.3821 MW
102	166.4 MW
103	-113.536 MW
104	-10.1508 MW
105	25.6191 MW
106	59.4668 MW
107	-37.3119 MW
108	-24.2197 MW
109	-166.4 MW
110	-225.867 MW
111	33.6257 MW
112	-111.803 MW
113	52.2197 MW
114	-71.9812 MW
115	-39.8221 MW
116	-7.67562e-11 MW
117	99.3632 MW
118	101.572 MW
119	48.6885 MW
120	10.1616 MW
121	14.6526 MW
122	-1.61249 MW
123	10.1616 MW
124	-7.23846e-11 MW
125	-53.3474 MW
126	-37.3898 MW
127	37.0019 MW
128	-63.9981 MW
129	-4.00187 MW
130	46.1226 MW
131	-93.4446 MW
132	-43.1625 MW
133	-23.215 MW
134	-24.8774 MW
135	-63.8774 MW
136	-39.8221 MW
137	8.47026 MW
138	15.7729 MW
139	13.1721 MW
140	-8.02511 MW
141	-58.154 MW
142	-19.061 MW
143	-31.5655 MW
144	-46.5885 MW
145	-42.5655 MW
146	17.6482 MW
147	-55.4916 MW
148	-75.3106 MW
149	-3.35176 MW
150	-103.492 MW
151	32.0557 MW
152	60.4461 MW
153	179.871 MW
154	57.4539 MW
155	14.5018 MW
156	14.5018 MW
157	61.8999 MW
158	56.3404 MW
159	27.506 MW
160	41.0802 MW
161	49.8999 MW
162	54.6085 MW
163	35.2094 MW
164	-13.5777 MW
165	12.6085 MW
166	-0.772879 MW
167	-20.8279 MW
168	-8.02511 MW
169	-14.0802 MW
170	84.8115 MW
171	42.7917 MW
172	45.7134 MW
173	-36.0802 MW
174	27.0007 MW
175	33.7148 MW
176	34.6136 MW
177	31.7924 MW
178	9.8191 MW
179	15.4675 MW
180	9.22063 MW
181	12.5325 MW
182	7.22063 MW
183	-0.779372 MW
184	-30.1658 MW
185	25 MW
186	2.10831 MW
Finished writing Internal Transmission lines' MW Flows
